"Region","Area","Device Type","Scope Groups","Scope Tags","Criteria"
"US","Southwest","iPhone","SG-DD-US-Southwest-iPhone","US-Southwest-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southwest","iPad","SG-DD-US-Southwest-iPad","US-Southwest-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southwest","Android","SG-DD-US-Southwest-Android","US-Southwest-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southwest","SurfaceHub","SG-DD-US-Southwest-SurfaceHub","US-Southwest-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southwest","TeamsRoom","SG-DD-US-Southwest-TeamsRoom","US-Southwest-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southwest","TeamsPhone","SG-DD-US-Southwest-TeamsPhone","US-Southwest-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USSWIT1"" -or device.displayName -startsWith ""USSWFN1"" -or device.displayName -startsWith ""USSWFN2"" -or device.displayName -startsWith ""USSWFN3"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG1"")"
"US","Southeast","Windows","SG-DD-US-Southeast-Windows","US-Southeast-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","macOS","SG-DD-US-Southeast-macOS","US-Southeast-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","iPhone","SG-DD-US-Southeast-iPhone","US-Southeast-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","iPad","SG-DD-US-Southeast-iPad","US-Southeast-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","Android","SG-DD-US-Southeast-Android","US-Southeast-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","SurfaceHub","SG-DD-US-Southeast-SurfaceHub","US-Southeast-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","TeamsRoom","SG-DD-US-Southeast-TeamsRoom","US-Southeast-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","Southeast","TeamsPhone","SG-DD-US-Southeast-TeamsPhone","US-Southeast-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USSWLG2"" -or device.displayName -startsWith ""USSWIT2"" -or device.displayName -startsWith ""USSWLG3"" -or device.displayName -startsWith ""USSWIT3"" -or device.displayName -startsWith ""USSWIT4"")"
"US","WestCoast","Windows","SG-DD-US-WestCoast-Windows","US-WestCoast-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","macOS","SG-DD-US-WestCoast-macOS","US-WestCoast-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","iPhone","SG-DD-US-WestCoast-iPhone","US-WestCoast-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","iPad","SG-DD-US-WestCoast-iPad","US-WestCoast-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","Android","SG-DD-US-WestCoast-Android","US-WestCoast-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","SurfaceHub","SG-DD-US-WestCoast-SurfaceHub","US-WestCoast-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","TeamsRoom","SG-DD-US-WestCoast-TeamsRoom","US-WestCoast-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","WestCoast","TeamsPhone","SG-DD-US-WestCoast-TeamsPhone","US-WestCoast-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USSWLG4"" -or device.displayName -startsWith ""USSWLG5"")"
"US","Captial","Windows","SG-DD-US-Captial-Windows","US-Captial-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","macOS","SG-DD-US-Captial-macOS","US-Captial-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","iPhone","SG-DD-US-Captial-iPhone","US-Captial-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","iPad","SG-DD-US-Captial-iPad","US-Captial-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","Android","SG-DD-US-Captial-Android","US-Captial-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","SurfaceHub","SG-DD-US-Captial-SurfaceHub","US-Captial-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","TeamsRoom","SG-DD-US-Captial-TeamsRoom","US-Captial-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","Captial","TeamsPhone","SG-DD-US-Captial-TeamsPhone","US-Captial-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USDCFN1"" -or device.displayName -startsWith ""USDCIT1"")"
"US","MidWest","Windows","SG-DD-US-MidWest-Windows","US-MidWest-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","macOS","SG-DD-US-MidWest-macOS","US-MidWest-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","iPhone","SG-DD-US-MidWest-iPhone","US-MidWest-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","iPad","SG-DD-US-MidWest-iPad","US-MidWest-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","Android","SG-DD-US-MidWest-Android","US-MidWest-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","SurfaceHub","SG-DD-US-MidWest-SurfaceHub","US-MidWest-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","TeamsRoom","SG-DD-US-MidWest-TeamsRoom","US-MidWest-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","MidWest","TeamsPhone","SG-DD-US-MidWest-TeamsPhone","US-MidWest-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USMWIT1"" -or device.displayName -startsWith ""USMWMN1"" -or device.displayName -startsWith ""USMWMN2"" -or device.displayName -startsWith ""USMWOT1"" -or device.displayName -startsWith ""USMWMN3"")"
"US","Northeast","Windows","SG-DD-US-Northeast-Windows","US-Northeast-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","macOS","SG-DD-US-Northeast-macOS","US-Northeast-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","iPhone","SG-DD-US-Northeast-iPhone","US-Northeast-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","iPad","SG-DD-US-Northeast-iPad","US-Northeast-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","Android","SG-DD-US-Northeast-Android","US-Northeast-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","SurfaceHub","SG-DD-US-Northeast-SurfaceHub","US-Northeast-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","TeamsRoom","SG-DD-US-Northeast-TeamsRoom","US-Northeast-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Northeast","TeamsPhone","SG-DD-US-Northeast-TeamsPhone","US-Northeast-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USNEIT1"" -or device.displayName -startsWith ""USNEMN1"" -or device.displayName -startsWith ""USNEFN1"" -or device.displayName -startsWith ""USNEOT1"" -or device.displayName -startsWith ""USNEOT2"" -or device.displayName -startsWith ""USNEIT2"" -or device.displayName -startsWith ""USNEIT3"")"
"US","Southernstates","Windows","SG-DD-US-Southernstates-Windows","US-Southernstates-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","macOS","SG-DD-US-Southernstates-macOS","US-Southernstates-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","iPhone","SG-DD-US-Southernstates-iPhone","US-Southernstates-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","iPad","SG-DD-US-Southernstates-iPad","US-Southernstates-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","Android","SG-DD-US-Southernstates-Android","US-Southernstates-Android","device.deviceOSType -contains ""android"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","SurfaceHub","SG-DD-US-Southernstates-SurfaceHub","US-Southernstates-SurfaceHub","device.deviceOSType -contains ""surfacehub"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","TeamsRoom","SG-DD-US-Southernstates-TeamsRoom","US-Southernstates-TeamsRoom","device.deviceOSType -contains ""teamsroom"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Southernstates","TeamsPhone","SG-DD-US-Southernstates-TeamsPhone","US-Southernstates-TeamsPhone","device.deviceOSType -contains ""teamsphone"" -and (device.displayName -startsWith ""USSSLG1"" -or device.displayName -startsWith ""USSSIT1"" -or device.displayName -startsWith ""USSSIT2"" -or device.displayName -startsWith ""USSSLG2"" -or device.displayName -startsWith ""USSSIT3"" -or device.displayName -startsWith ""USSSIT4"")"
"US","Eastcoast","Windows","SG-DD-US-Eastcoast-Windows","US-Eastcoast-Windows","device.deviceOSType -contains ""windows"" -and (device.displayName -startsWith ""USECFN1"" -or device.displayName -startsWith ""USECIT1"" -or device.displayName -startsWith ""USECLG1"" -or device.displayName -startsWith ""USECIT2"" -or device.displayName -startsWith ""USECIT3"" -or device.displayName -startsWith ""USECOT1"" -or device.displayName -startsWith ""USECOT2"" -or device.displayName -startsWith ""USECFN2"" -or device.displayName -startsWith ""USECFN3"" -or device.displayName -startsWith ""USECOT3"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECFN4"" -or device.displayName -startsWith ""USECFN5"" -or device.displayName -startsWith ""USECLG2"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECIT4"")"
"US","Eastcoast","macOS","SG-DD-US-Eastcoast-macOS","US-Eastcoast-macOS","device.deviceOSType -contains ""mac"" -and (device.displayName -startsWith ""USECFN1"" -or device.displayName -startsWith ""USECIT1"" -or device.displayName -startsWith ""USECLG1"" -or device.displayName -startsWith ""USECIT2"" -or device.displayName -startsWith ""USECIT3"" -or device.displayName -startsWith ""USECOT1"" -or device.displayName -startsWith ""USECOT2"" -or device.displayName -startsWith ""USECFN2"" -or device.displayName -startsWith ""USECFN3"" -or device.displayName -startsWith ""USECOT3"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECFN4"" -or device.displayName -startsWith ""USECFN5"" -or device.displayName -startsWith ""USECLG2"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECIT4"")"
"US","Eastcoast","iPhone","SG-DD-US-Eastcoast-iPhone","US-Eastcoast-iPhone","device.deviceOSType -contains ""iphone"" -and (device.displayName -startsWith ""USECFN1"" -or device.displayName -startsWith ""USECIT1"" -or device.displayName -startsWith ""USECLG1"" -or device.displayName -startsWith ""USECIT2"" -or device.displayName -startsWith ""USECIT3"" -or device.displayName -startsWith ""USECOT1"" -or device.displayName -startsWith ""USECOT2"" -or device.displayName -startsWith ""USECFN2"" -or device.displayName -startsWith ""USECFN3"" -or device.displayName -startsWith ""USECOT3"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECFN4"" -or device.displayName -startsWith ""USECFN5"" -or device.displayName -startsWith ""USECLG2"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECIT4"")"
"US","Eastcoast","iPad","SG-DD-US-Eastcoast-iPad","US-Eastcoast-iPad","device.deviceOSType -contains ""ipad"" -and (device.displayName -startsWith ""USECFN1"" -or device.displayName -startsWith ""USECIT1"" -or device.displayName -startsWith ""USECLG1"" -or device.displayName -startsWith ""USECIT2"" -or device.displayName -startsWith ""USECIT3"" -or device.displayName -startsWith ""USECOT1"" -or device.displayName -startsWith ""USECOT2"" -or device.displayName -startsWith ""USECFN2"" -or device.displayName -startsWith ""USECFN3"" -or device.displayName -startsWith ""USECOT3"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECFN4"" -or device.displayName -startsWith ""USECFN5"" -or device.displayName -startsWith ""USECLG2"" -or device.displayName -startsWith ""USECOT4"" -or device.displayName -startsWith ""USECIT4"")"
